Al_scaffold_0001_1000	AT4G03298.1	38.660	194	65	11	4	173	1	164	5.12e-20	84.0
Al_scaffold_0001_1004	AT1G10280.1	99.272	412	3	0	1	412	1	412	0.0	857
Al_scaffold_0001_1015	AT1G11470.1	36.709	79	50	0	87	165	55	133	6.84e-14	67.0
Al_scaffold_0001_1024	AT1G59820.1	80.460	261	43	3	116	370	955	1213	7.24e-142	433
Al_scaffold_0001_1024	AT1G59820.1	75.000	68	14	2	1	68	160	224	4.51e-23	101
Al_scaffold_0001_1030	AT1G53645.1	84.375	32	5	0	4	35	260	291	6.19e-10	52.8
Al_scaffold_0001_1039	AT1G10540.1	93.878	539	33	0	1	539	1	539	0.0	1030
Al_scaffold_0001_1041	AT4G09545.1	71.545	123	30	2	1	119	1	122	3.52e-57	173
Al_scaffold_0001_1044	AT1G10580.1	95.986	573	22	1	1	572	1	573	0.0	1112
Al_scaffold_0001_1048	AT1G10590.3	93.960	149	8	1	1	149	5	152	1.35e-101	288
Al_scaffold_0001_1061	AT3G07020.1	77.049	61	14	0	81	141	151	211	1.66e-24	98.2
Al_scaffold_0001_1061	AT3G07020.1	83.871	62	10	0	28	89	7	68	5.43e-16	73.9
Al_scaffold_0001_1062	AT1G10710.1	84.928	345	49	2	1	343	1	344	0.0	601
Al_scaffold_0001_1063	AT1G10717.1	70.000	80	23	1	3	81	7	86	1.54e-34	113
Al_scaffold_0001_1075	AT1G10747.1	54.762	84	27	3	1	79	1	78	1.30e-19	75.5
Al_scaffold_0001_1084	AT1G10820.2	92.045	264	12	2	1	262	1	257	0.0	499
Al_scaffold_0001_1095	AT1G53350.1	72.538	914	214	7	1	885	1	906	0.0	1291
Al_scaffold_0001_1104	AT1G11040.1	96.575	438	15	0	1	438	1	438	0.0	861
Al_scaffold_0001_1106	AT1G11060.1	95.304	873	41	0	1	873	58	930	0.0	1615
Al_scaffold_0001_1111	AT1G11110.1	83.453	278	46	0	1	278	1	278	1.99e-163	454
Al_scaffold_0001_1115	AT5G01150.1	39.754	488	185	10	2	384	3	486	1.09e-100	308
Al_scaffold_0001_1118	AT1G13200.1	74.247	365	92	2	44	407	63	426	0.0	573
Al_scaffold_0001_1120	AT1G11170.1	92.466	438	29	3	1	435	1	437	0.0	824
