gene_id	cluster_id	cluster_size	dup_status
Al_scaffold_0001_1133	C000001	462	duplicate
Al_scaffold_0001_1139	C000001	462	duplicate
Al_scaffold_0001_1145	C000001	462	duplicate
Al_scaffold_0001_1673	C000001	462	duplicate
Al_scaffold_0001_3504	C000001	462	duplicate
Al_scaffold_0001_3633	C000001	462	duplicate
Al_scaffold_0002_1120	C000001	462	duplicate
Al_scaffold_0002_1384	C000001	462	duplicate
Al_scaffold_0002_372	C000001	462	duplicate
Al_scaffold_0002_381	C000001	462	duplicate
Al_scaffold_0002_384	C000001	462	duplicate
Al_scaffold_0002_385	C000001	462	duplicate
Al_scaffold_0002_393	C000001	462	duplicate
Al_scaffold_0002_394	C000001	462	duplicate
Al_scaffold_0002_396	C000001	462	duplicate
Al_scaffold_0004_1179	C000001	462	duplicate
Al_scaffold_0004_1273	C000001	462	duplicate
Al_scaffold_0004_3033	C000001	462	duplicate
Al_scaffold_0004_3034	C000001	462	duplicate
Al_scaffold_0004_3412	C000001	462	duplicate
Al_scaffold_0004_481	C000001	462	duplicate
Al_scaffold_0006_3317	C000001	462	duplicate
Al_scaffold_0006_3320	C000001	462	duplicate
Al_scaffold_0006_3322	C000001	462	duplicate
Al_scaffold_0006_3384	C000001	462	duplicate
Al_scaffold_0006_3516	C000001	462	duplicate
Al_scaffold_0006_3517	C000001	462	duplicate
Al_scaffold_0006_3519	C000001	462	duplicate
Al_scaffold_0006_50	C000001	462	duplicate
Al_scaffold_0006_597	C000001	462	duplicate
Al_scaffold_0007_1050	C000001	462	duplicate
Al_scaffold_0007_1412	C000001	462	duplicate
Al_scaffold_0007_1824	C000001	462	duplicate
Al_scaffold_0007_1831	C000001	462	duplicate
Al_scaffold_0007_1833	C000001	462	duplicate
Al_scaffold_0007_1835	C000001	462	duplicate
Al_scaffold_0007_1836	C000001	462	duplicate
Al_scaffold_0007_1838	C000001	462	duplicate
Al_scaffold_0007_2039	C000001	462	duplicate
Al_scaffold_0007_230	C000001	462	duplicate
Al_scaffold_0007_3642	C000001	462	duplicate
Al_scaffold_0007_3719	C000001	462	duplicate
Al_scaffold_0007_3777	C000001	462	duplicate
Al_scaffold_0007_3790	C000001	462	duplicate
Al_scaffold_0008_3110	C000001	462	duplicate
Al_scaffold_0008_3244	C000001	462	duplicate
Al_scaffold_0008_412	C000001	462	duplicate
fgenesh1_pg.C_scaffold_7001070	C000001	462	duplicate
fgenesh1_pg.C_scaffold_7002720	C000001	462	duplicate
fgenesh1_pm.C_scaffold_2001036	C000001	462	duplicate
fgenesh1_pm.C_scaffold_2001038	C000001	462	duplicate
fgenesh1_pm.C_scaffold_4000755	C000001	462	duplicate
fgenesh1_pm.C_scaffold_4001421	C000001	462	duplicate
fgenesh1_pm.C_scaffold_5001199	C000001	462	duplicate
fgenesh1_pm.C_scaffold_5002201	C000001	462	duplicate
fgenesh1_pm.C_scaffold_6000370	C000001	462	duplicate
fgenesh1_pm.C_scaffold_6002958	C000001	462	duplicate
fgenesh1_pm.C_scaffold_8001092	C000001	462	duplicate
fgenesh2_kg.1__1193__AT1G11050.1	C000001	462	duplicate
fgenesh2_kg.1__1218__AT1G11280.2	C000001	462	duplicate
fgenesh2_kg.1__1223__AT1G11330.1	C000001	462	duplicate
fgenesh2_kg.1__1224__AT1G11340.1	C000001	462	duplicate
fgenesh2_kg.1__1225__AT1G11350.1	C000001	462	duplicate
fgenesh2_kg.1__1233__AT1G11410.1	C000001	462	duplicate
fgenesh2_kg.1__1768__AT1G16150.1	C000001	462	duplicate
fgenesh2_kg.1__1959__AT1G17910.1	C000001	462	duplicate
fgenesh2_kg.1__2083__AT1G19090.1	C000001	462	duplicate
fgenesh2_kg.1__2317__AT1G21270.1	C000001	462	duplicate
fgenesh2_kg.1__3292__AT5G65600.1	C000001	462	duplicate
fgenesh2_kg.1__4059__AT1G49730.1	C000001	462	duplicate
fgenesh2_kg.2__1089__AT1G68400.1	C000001	462	duplicate
fgenesh2_kg.2__1183__AT1G69270.1	C000001	462	duplicate
fgenesh2_kg.2__2273__AT1G79670.2	C000001	462	duplicate
fgenesh2_kg.2__2312__AT1G80640.1	C000001	462	duplicate
fgenesh2_kg.2__274__AT1G61860.1	C000001	462	duplicate
fgenesh2_kg.2__307__AT1G61490.1	C000001	462	duplicate
fgenesh2_kg.2__308__AT1G61460.1	C000001	462	duplicate
fgenesh2_kg.2__311__AT1G61420.1	C000001	462	duplicate
fgenesh2_kg.2__315__AT1G61380.1	C000001	462	duplicate
fgenesh2_kg.2__317__AT1G61360.1	C000001	462	duplicate
fgenesh2_kg.2__382__AT1G60800.1	C000001	462	duplicate
fgenesh2_kg.2__816__AT1G65790.1	C000001	462	duplicate
fgenesh2_kg.3__1760__AT3G16030.1	C000001	462	duplicate
fgenesh2_kg.3__1969__AT3G17840.1	C000001	462	duplicate
fgenesh2_kg.3__2146__AT3G19300.1	C000001	462	duplicate
fgenesh2_kg.3__2934__AT2G07180.1	C000001	462	duplicate
fgenesh2_kg.3__3521__AT2G19130.1	C000001	462	duplicate
fgenesh2_kg.3__891__AT3G08870.1	C000001	462	duplicate
fgenesh2_kg.4__1833__AT2G37710.1	C000001	462	duplicate
fgenesh2_kg.4__439__AT2G25220.1	C000001	462	duplicate
fgenesh2_kg.5__1703__AT3G53380.1	C000001	462	duplicate
fgenesh2_kg.5__1767__AT3G53810.1	C000001	462	duplicate
fgenesh2_kg.5__2314__AT3G58690.1	C000001	462	duplicate
fgenesh2_kg.5__2401__AT3G59420.1	C000001	462	duplicate
fgenesh2_kg.5__304__AT3G25560.2	C000001	462	duplicate
fgenesh2_kg.5__434__AT3G26700.1	C000001	462	duplicate
fgenesh2_kg.5__611__AT3G28450.1	C000001	462	duplicate
fgenesh2_kg.5__957__AT3G45860.1	C000001	462	duplicate
fgenesh2_kg.6__1019__AT5G10520.1	C000001	462	duplicate
fgenesh2_kg.6__119__AT5G02070.1	C000001	462	duplicate
fgenesh2_kg.6__2037__AT5G20050.1	C000001	462	duplicate
fgenesh2_kg.6__218__AT5G03140.1	C000001	462	duplicate
fgenesh2_kg.6__3108__AT4G11460.1	C000001	462	duplicate
fgenesh2_kg.6__3109__AT4G11480.1	C000001	462	duplicate
fgenesh2_kg.6__3232__AT4G04510.1	C000001	462	duplicate
fgenesh2_kg.6__3275__AT4G04960.1	C000001	462	duplicate
fgenesh2_kg.6__3371__AT4G03230.1	C000001	462	duplicate
fgenesh2_kg.6__53__AT5G01560.1	C000001	462	duplicate
fgenesh2_kg.6__55__AT5G01540.1	C000001	462	duplicate
fgenesh2_kg.7__1501__AT4G27300.1	C000001	462	duplicate
fgenesh2_kg.7__1975__AT4G23260.1	C000001	462	duplicate
fgenesh2_kg.7__1976__AT4G23220.1	C000001	462	duplicate
fgenesh2_kg.7__1979__AT4G23180.1	C000001	462	duplicate
fgenesh2_kg.7__1981__AT4G23130.2	C000001	462	duplicate
fgenesh2_kg.7__2029__AT4G22730.1	C000001	462	duplicate
fgenesh2_kg.7__2176__AT4G21410.1	C000001	462	duplicate
fgenesh2_kg.7__2192__AT4G21230.1	C000001	462	duplicate
fgenesh2_kg.7__2474__AT4G18250.1	C000001	462	duplicate
fgenesh2_kg.7__3554__AT5G38560.1	C000001	462	duplicate
fgenesh2_kg.7__780__AT4G33430.1	C000001	462	duplicate
fgenesh2_kg.7__82__AT4G38830.1	C000001	462	duplicate
fgenesh2_kg.7__968__AT4G32000.1	C000001	462	duplicate
fgenesh2_kg.8__1356__AT5G54590.2	C000001	462	duplicate
fgenesh2_kg.8__1480__AT5G55830.1	C000001	462	duplicate
fgenesh2_kg.8__1979__AT5G60270.1	C000001	462	duplicate
fgenesh2_kg.8__1982__AT5G60300.2	C000001	462	duplicate
fgenesh2_kg.8__1985__AT5G60320.1	C000001	462	duplicate
fgenesh2_kg.8__2375__AT5G63710.1	C000001	462	duplicate
fgenesh2_kg.8__637__AT5G42120.1	C000001	462	duplicate
fgenesh2_kg.8__707__AT5G48380.1	C000001	462	duplicate
scaffold_101739.1	C000001	462	duplicate
scaffold_102374.1	C000001	462	duplicate
scaffold_102786.1	C000001	462	duplicate
scaffold_102961.1	C000001	462	duplicate
scaffold_103916.1	C000001	462	duplicate
scaffold_200445.1	C000001	462	duplicate
scaffold_201476.1	C000001	462	duplicate
scaffold_201939.1	C000001	462	duplicate
scaffold_201941.1	C000001	462	duplicate
scaffold_202099.1	C000001	462	duplicate
scaffold_300480.1	C000001	462	duplicate
scaffold_400384.1	C000001	462	duplicate
scaffold_401387.1	C000001	462	duplicate
scaffold_402171.1	C000001	462	duplicate
scaffold_402681.1	C000001	462	duplicate
scaffold_403268.1	C000001	462	duplicate
scaffold_403780.1	C000001	462	duplicate
scaffold_501394.1	C000001	462	duplicate
scaffold_501396.1	C000001	462	duplicate
scaffold_501397.1	C000001	462	duplicate
scaffold_501398.1	C000001	462	duplicate
scaffold_501529.1	C000001	462	duplicate
scaffold_502683.1	C000001	462	duplicate
scaffold_601066.1	C000001	462	duplicate
scaffold_601634.1	C000001	462	duplicate
scaffold_603770.1	C000001	462	duplicate
scaffold_604086.1	C000001	462	duplicate
scaffold_702280.1	C000001	462	duplicate
scaffold_702281.1	C000001	462	duplicate
scaffold_800930.1	C000001	462	duplicate
scaffold_802669.1	C000001	462	duplicate
scaffold_802778.1	C000001	462	duplicate
scaffold_802945.1	C000001	462	duplicate
scaffold_803096.1	C000001	462	duplicate
Al_scaffold_0001_3546	C000001	462	duplicate
Al_scaffold_0002_2688	C000001	462	duplicate
Al_scaffold_0006_3323	C000001	462	duplicate
Al_scaffold_0007_1254	C000001	462	duplicate
Al_scaffold_0007_3298	C000001	462	duplicate
Al_scaffold_0008_3073	C000001	462	duplicate
fgenesh1_pm.C_scaffold_1001383	C000001	462	duplicate
fgenesh1_pm.C_scaffold_2001244	C000001	462	duplicate
fgenesh1_pm.C_scaffold_3002450	C000001	462	duplicate
fgenesh1_pm.C_scaffold_8000540	C000001	462	duplicate
fgenesh2_kg.1__4300__AT1G52310.1	C000001	462	duplicate
fgenesh2_kg.2__1234__AT1G69730.1	C000001	462	duplicate
fgenesh2_kg.3__1746__AT3G15890.1	C000001	462	duplicate
fgenesh2_kg.4__1996__AT2G39180.1	C000001	462	duplicate
fgenesh2_kg.6__2393__AT5G24010.1	C000001	462	duplicate
fgenesh2_kg.6__3460__AT4G02410.1	C000001	462	duplicate
fgenesh2_kg.7__1069__AT4G31110.1	C000001	462	duplicate
fgenesh2_kg.7__3587__AT5G38280.1	C000001	462	duplicate
fgenesh2_kg.7__3592__AT5G38210.1	C000001	462	duplicate
scaffold_102165.1	C000001	462	duplicate
scaffold_201930.1	C000001	462	duplicate
scaffold_302957.1	C000001	462	duplicate
scaffold_303574.1	C000001	462	duplicate
scaffold_400332.1	C000001	462	duplicate
scaffold_503189.1	C000001	462	duplicate
scaffold_601043.1	C000001	462	duplicate
scaffold_601931.1	C000001	462	duplicate
scaffold_602693.1	C000001	462	duplicate
scaffold_604033.1	C000001	462	duplicate
scaffold_704163.1	C000001	462	duplicate
Al_scaffold_0001_5097	C000001	462	duplicate
fgenesh1_pm.C_scaffold_1002196	C000001	462	duplicate
fgenesh1_pm.C_scaffold_6000857	C000001	462	duplicate
fgenesh2_kg.2__909__AT1G66830.1	C000001	462	duplicate
fgenesh2_kg.3__3559__AT2G20300.1	C000001	462	duplicate
fgenesh2_kg.4__252__AT2G23200.1	C000001	462	duplicate
fgenesh2_kg.7__2177__AT4G21400.1	C000001	462	duplicate
fgenesh2_kg.7__931__AT4G32300.1	C000001	462	duplicate
scaffold_304347.1	C000001	462	duplicate
Al_scaffold_0001_1675	C000001	462	duplicate
Al_scaffold_0001_2216	C000001	462	duplicate
Al_scaffold_0003_3888	C000001	462	duplicate
fgenesh1_pm.C_scaffold_8000179	C000001	462	duplicate
fgenesh2_kg.1__1765__AT1G16090.1	C000001	462	duplicate
fgenesh2_kg.1__1766__AT1G16110.1	C000001	462	duplicate
scaffold_201716.1	C000001	462	duplicate
scaffold_304266.1	C000001	462	duplicate
Al_scaffold_0006_3835	C000001	462	duplicate
scaffold_102375.1	C000001	462	duplicate
Al_scaffold_0003_2861	C000001	462	duplicate
fgenesh1_pm.C_scaffold_2001422	C000001	462	duplicate
fgenesh2_kg.8__89__AT5G47070.1	C000001	462	duplicate
Al_scaffold_0001_3815	C000001	462	duplicate
Al_scaffold_0001_4104	C000001	462	duplicate
Al_scaffold_0001_5203	C000001	462	duplicate
Al_scaffold_0002_1071	C000001	462	duplicate
Al_scaffold_0002_1383	C000001	462	duplicate
Al_scaffold_0002_1946	C000001	462	duplicate
Al_scaffold_0002_2085	C000001	462	duplicate
Al_scaffold_0002_2338	C000001	462	duplicate
Al_scaffold_0003_3824	C000001	462	duplicate
Al_scaffold_0004_1504	C000001	462	duplicate
Al_scaffold_0004_2951	C000001	462	duplicate
Al_scaffold_0005_62	C000001	462	duplicate
